restaurant_id,restaurant_name,phone,address,content,open_time,close_time,rating,likes,rest_day,location_id,category_id
1,청탑,051-246-0071,"부산광역시 중구 구덕로22번길 3","부산광역시 중구에서 맛집을 찾으신다면 "청탑"을 추천합니다. 50년 이상의 전통을 자랑합니다.",11:30:00,21:30:00,4.9,0,월요일,6,1
2,까페그루,070-7793-5751,"부산광역시 서구 꽃마을로 21","부산광역시 서구에서 맛집을 찾으신다면 "까페그루"를 추천합니다. 50년 이상의 전통을 자랑합니다.",12:00:00,22:00:00,8.8,0,화요일,5,1
3,한솥도시락(서면교보생명앞점),051-819-9797,"부산광역시 부산진구 중앙대로 655","부산광역시 부산진구에서 맛집을 찾으신다면 "한솥도시락(서면교보생명앞점)"을 추천합니다. 50년 이상의 전통을 자랑합니다.",10:30:00,22:30:00,6.4,0,수요일,8,3
4,커피탱크,051-263-4629,"부산광역시 사하구 장림번영로 25","부산광역시 사하구에서 어디를 갈지 고민이라면! "커피탱크"에 가보시는 건 어떨까요?",08:00:00,23:00:00,3.4,0,목요일,2,2
5,유성커피숍,,"부산광역시 사하구 낙동대로 425","부산광역시 사하구에서 맛집을 찾으신다면 "유성커피숍"을 추천합니다.",09:00:00,23:30:00,3.1,0,금요일,2,2
6,경복,051-245-6308,"부산광역시 중구 자갈치로47번길 3-1","부산광역시 중구에서 어디를 갈지 고민이라면! "경복"에 가보시는 건 어떨까요? 50년 이상의 전통을 자랑합니다.",09:30:00,00:00:00,3.1,0,토요일,6,2
7,유앤아이커피,,"부산광역시 중구 비프광장로 33-1","부산광역시 중구에서 어디를 갈지 고민이라면! "유앤아이커피？"에 가보시는 건 어떨까요? 50년 이상의 전통을 자랑합니다.",10:00:00,21:00:00,4.5,0,일요일,6,2
8,세명,,"부산광역시 중구 비프광장로 33-1","부산광역시 중구에서 어디를 갈지 고민이라면! "세명"에 가보시는 건 어떨까요? 50년 이상의 전통을 자랑합니다.",08:00:00,21:30:00,3.9,0,월요일,6,2
9,한성,051-416-4761,"부산광역시 영도구 남항로 13","부산광역시 영도구에서 어디를 갈지 고민이라면! "한성"에 가보시는 건 어떨까요? 50년 이상의 전통을 자랑합니다.",09:00:00,22:00:00,4.3,0,화요일,9,2
10,봉학,,"부산광역시 중구 흑교로 71-1","부산광역시 중구에서 어디를 갈지 고민이라면! "봉학"에 가보시는 건 어떨까요? 50년 이상의 전통을 자랑합니다.",09:30:00,22:30:00,7.6,0,수요일,6,2
11,815다방,051-416-0815,"부산광역시 영도구 태종로65번길 14","부산광역시 영도구에서 식당을 찾으신다면? "815다방"을 방문해보세요! 50년 이상의 전통을 자랑합니다.",10:00:00,23:00:00,2.1,0,목요일,9,2
12,진,,"부산광역시 북구 사상로 587","부산광역시 북구에서 식당을 찾으신다면? "진"을 방문해보세요! 50년 이상의 전통을 자랑합니다.",08:00:00,23:30:00,6.7,0,금요일,4,2
13,신한다방,051-245-1396,"부산광역시 중구 자갈치로 41","부산광역시 중구에서 가 볼 만한 식당을 찾으신다면? "신한다방"을 추천합니다! 50년 이상의 전통을 자랑합니다.",09:00:00,00:00:00,4.0,0,토요일,6,2
14,대원,051-245-1232,"부산광역시 중구 해관로 42","부산광역시 중구에서 가 볼 만한 식당을 찾으신다면? "대원"을 추천합니다! 50년 이상의 전통을 자랑합니다.",09:30:00,21:00:00,5.1,0,일요일,6,2
15,호수다방,051-523-1973,"부산광역시 금정구 금사로 78","부산광역시 금정구에서 식당을 찾으신다면? "호수다방"을 방문해보세요! 50년 이상의 전통을 자랑합니다.",10:00:00,21:30:00,4.6,0,월요일,14,2
16,문화,051-416-9647,"부산광역시 영도구 절영로 60","어디 가야 할지 고민이시라고요? 그럼 부산광역시 영도구 맛집, "문화"를 추천합니다! 50년 이상의 전통을 자랑합니다.",08:00:00,22:00:00,5.7,0,화요일,9,2
17,명성,051-416-2459,"부산광역시 영도구 태종로 56-2",""명성"은 부산광역시 영도구에 있습니다. 50년 이상의 전통을 자랑합니다.",09:00:00,22:30:00,5.8,0,수요일,9,2
18,물커피숍,051-416-9650,"부산광역시 영도구 절영로14번길 11",""물커피숍"은 부산광역시 영도구에 있습니다. 50년 이상의 전통을 자랑합니다.",09:30:00,23:00:00,2.6,0,목요일,9,2
19,소희,,"부산광역시 영도구 태종로 77",""소희"를 부산광역시 영도구의 가 볼 만한 식당으로 추천합니다! 50년 이상의 전통을 자랑합니다.",10:00:00,23:30:00,7.9,0,금요일,9,2
20,삼각지커피숍,051-416-2055,"부산광역시 영도구 절영로 53-1","부산광역시 영도구에서 식당을 찾으신다면? "삼각지커피숍"을 방문해보세요! 50년 이상의 전통을 자랑합니다.",08:00:00,00:00:00,8.7,0,토요일,9,2
21,진다방,051-291-0778,"부산광역시 사하구 낙동대로 175-1","부산광역시 사하구에서 어디를 갈지 고민이라면! "진다방"에 가보시는 건 어떨까요? 50년 이상의 전통을 자랑합니다.",09:00:00,21:00:00,3.9,0,일요일,2,2
22,"나비 커피숍",051-416-0087,"부산광역시 영도구 태종로 70",""나비 커피숍"은 부산광역시 영도구에 있습니다. 50년 이상의 전통을 자랑합니다.",09:30:00,21:30:00,5.3,0,월요일,9,2
23,오케이커피숍,051-416-1474,"부산광역시 영도구 절영로13번길 30","부산광역시 영도구에서 가 볼 만한 식당을 찾으신다면? "오케이커피숍"을 추천합니다! 50년 이상의 전통을 자랑합니다.",10:00:00,22:00:00,5.8,0,화요일,9,2
24,충남,051-809-9096,"부산광역시 부산진구 중앙대로756번길 17",""충남"을 부산광역시 부산진구의 가 볼 만한 식당으로 추천합니다! 50년 이상의 전통을 자랑합니다.",08:00:00,22:30:00,4.0,0,수요일,8,2
25,우정커피숍,051-646-6161,"부산광역시 남구 전포대로 70-1","어디 가야 할지 고민이시라고요? 그럼 부산광역시 남구 맛집, "우정커피숍"을 추천합니다! 50년 이상의 전통을 자랑합니다.",09:00:00,23:00:00,7.6,0,목요일,10,2
26,바다커피숍,051-514-4211,"부산광역시 금정구 금정로 21","부산광역시 금정구에서 식당을 찾으신다면? "바다커피숍"을 방문해보세요! 50년 이상의 전통을 자랑합니다.",09:30:00,23:30:00,3.1,0,금요일,14,2
27,새한커피전문점,051-853-0933,"부산광역시 연제구 거제시장로 43",""새한커피전문점"은 부산광역시 연제구에 있습니다. 가장 가까운 지하철역은 거제해맞이역입니다. 50년 이상의 전통을 자랑합니다.",10:00:00,00:00:00,4.7,0,토요일,12,2
28,명신커피숍,051-808-8331,"부산광역시 부산진구 새싹로8번길 26",""명신커피숍"은 부산광역시 부산진구에 있습니다. 가장 가까운 지하철역은 부전역입니다. 50년 이상의 전통을 자랑합니다.",08:00:00,21:00:00,5.2,0,일요일,8,2
29,산마루다방,051-721-1343,"부산광역시 기장군 기장읍 차성로299번길 12","부산광역시 기장군에서 맛집을 찾으신다면 "산마루다방"에 방문해보세요. 기장역 근처에 있습니다. 50년 이상의 전통을 자랑합니다.",09:00:00,21:30:00,3.0,0,월요일,16,2
